image_idx,row_upper_left,column_upper_left,row_centre,column_centre,x_coordinate,y_coordinate,geometry
1,0,0,75,75,346775.1154461877,4730164.941377874,POINT (346775.1154461877 4730164.941377874)
2,0,150,75,225,346925.1154461877,4730164.941377874,POINT (346925.1154461877 4730164.941377874)
3,0,300,75,375,347075.1154461877,4730164.941377874,POINT (347075.1154461877 4730164.941377874)
4,0,450,75,525,347225.1154461877,4730164.941377874,POINT (347225.1154461877 4730164.941377874)
5,0,600,75,675,347375.1154461877,4730164.941377874,POINT (347375.1154461877 4730164.941377874)
6,0,750,75,825,347525.1154461877,4730164.941377874,POINT (347525.1154461877 4730164.941377874)
7,0,900,75,975,347675.1154461877,4730164.941377874,POINT (347675.1154461877 4730164.941377874)
8,0,1050,75,1125,347825.1154461877,4730164.941377874,POINT (347825.1154461877 4730164.941377874)
9,0,1200,75,1275,347975.1154461877,4730164.941377874,POINT (347975.1154461877 4730164.941377874)
10,0,1350,75,1425,348125.1154461877,4730164.941377874,POINT (348125.1154461877 4730164.941377874)
11,0,1500,75,1575,348275.1154461877,4730164.941377874,POINT (348275.1154461877 4730164.941377874)
12,0,1650,75,1725,348425.1154461877,4730164.941377874,POINT (348425.1154461877 4730164.941377874)
13,0,1800,75,1875,348575.1154461877,4730164.941377874,POINT (348575.1154461877 4730164.941377874)
14,0,1950,75,2025,348725.1154461877,4730164.941377874,POINT (348725.1154461877 4730164.941377874)
15,0,2100,75,2175,348875.1154461877,4730164.941377874,POINT (348875.1154461877 4730164.941377874)
16,0,2250,75,2325,349025.1154461877,4730164.941377874,POINT (349025.1154461877 4730164.941377874)
17,0,2400,75,2475,349175.1154461877,4730164.941377874,POINT (349175.1154461877 4730164.941377874)
18,0,2550,75,2625,349325.1154461877,4730164.941377874,POINT (349325.1154461877 4730164.941377874)
19,0,2700,75,2775,349475.1154461877,4730164.941377874,POINT (349475.1154461877 4730164.941377874)
20,0,2850,75,2925,349625.1154461877,4730164.941377874,POINT (349625.1154461877 4730164.941377874)
21,0,3000,75,3075,349775.1154461877,4730164.941377874,POINT (349775.1154461877 4730164.941377874)
22,0,3150,75,3225,349925.1154461877,4730164.941377874,POINT (349925.1154461877 4730164.941377874)
23,0,3300,75,3375,350075.1154461877,4730164.941377874,POINT (350075.1154461877 4730164.941377874)
24,0,3450,75,3525,350225.1154461877,4730164.941377874,POINT (350225.1154461877 4730164.941377874)
25,0,3600,75,3675,350375.1154461877,4730164.941377874,POINT (350375.1154461877 4730164.941377874)
26,0,3750,75,3825,350525.1154461877,4730164.941377874,POINT (350525.1154461877 4730164.941377874)
27,0,3900,75,3975,350675.1154461877,4730164.941377874,POINT (350675.1154461877 4730164.941377874)
28,0,4050,75,4125,350825.1154461877,4730164.941377874,POINT (350825.1154461877 4730164.941377874)
29,0,4200,75,4275,350975.1154461877,4730164.941377874,POINT (350975.1154461877 4730164.941377874)
30,0,4350,75,4425,351125.1154461877,4730164.941377874,POINT (351125.1154461877 4730164.941377874)
31,0,4500,75,4575,351275.1154461877,4730164.941377874,POINT (351275.1154461877 4730164.941377874)
32,0,4650,75,4725,351425.1154461877,4730164.941377874,POINT (351425.1154461877 4730164.941377874)
33,0,4800,75,4875,351575.1154461877,4730164.941377874,POINT (351575.1154461877 4730164.941377874)
34,0,4950,75,5025,351725.1154461877,4730164.941377874,POINT (351725.1154461877 4730164.941377874)
35,0,5100,75,5175,351875.1154461877,4730164.941377874,POINT (351875.1154461877 4730164.941377874)
36,0,5250,75,5325,352025.1154461877,4730164.941377874,POINT (352025.1154461877 4730164.941377874)
37,0,5400,75,5475,352175.1154461877,4730164.941377874,POINT (352175.1154461877 4730164.941377874)
38,0,5550,75,5625,352325.1154461877,4730164.941377874,POINT (352325.1154461877 4730164.941377874)
39,0,5700,75,5775,352475.1154461877,4730164.941377874,POINT (352475.1154461877 4730164.941377874)
40,0,5850,75,5925,352625.1154461877,4730164.941377874,POINT (352625.1154461877 4730164.941377874)
41,0,6000,75,6075,352775.1154461877,4730164.941377874,POINT (352775.1154461877 4730164.941377874)
42,0,6150,75,6225,352925.1154461877,4730164.941377874,POINT (352925.1154461877 4730164.941377874)
43,0,6300,75,6375,353075.1154461877,4730164.941377874,POINT (353075.1154461877 4730164.941377874)
44,0,6450,75,6525,353225.1154461877,4730164.941377874,POINT (353225.1154461877 4730164.941377874)
45,0,6600,75,6675,353375.1154461877,4730164.941377874,POINT (353375.1154461877 4730164.941377874)
46,0,6750,75,6825,353525.1154461877,4730164.941377874,POINT (353525.1154461877 4730164.941377874)
47,0,6900,75,6975,353675.1154461877,4730164.941377874,POINT (353675.1154461877 4730164.941377874)
48,0,7050,75,7125,353825.1154461877,4730164.941377874,POINT (353825.1154461877 4730164.941377874)
49,0,7200,75,7275,353975.1154461877,4730164.941377874,POINT (353975.1154461877 4730164.941377874)
50,0,7350,75,7425,354125.1154461877,4730164.941377874,POINT (354125.1154461877 4730164.941377874)
51,0,7500,75,7575,354275.1154461877,4730164.941377874,POINT (354275.1154461877 4730164.941377874)
52,0,7650,75,7725,354425.1154461877,4730164.941377874,POINT (354425.1154461877 4730164.941377874)
53,0,7800,75,7875,354575.1154461877,4730164.941377874,POINT (354575.1154461877 4730164.941377874)
54,0,7950,75,8025,354725.1154461877,4730164.941377874,POINT (354725.1154461877 4730164.941377874)
55,0,8100,75,8175,354875.1154461877,4730164.941377874,POINT (354875.1154461877 4730164.941377874)
56,0,8250,75,8325,355025.1154461877,4730164.941377874,POINT (355025.1154461877 4730164.941377874)
57,0,8400,75,8475,355175.1154461877,4730164.941377874,POINT (355175.1154461877 4730164.941377874)
58,0,8550,75,8625,355325.1154461877,4730164.941377874,POINT (355325.1154461877 4730164.941377874)
59,0,8700,75,8775,355475.1154461877,4730164.941377874,POINT (355475.1154461877 4730164.941377874)
60,0,8850,75,8925,355625.1154461877,4730164.941377874,POINT (355625.1154461877 4730164.941377874)
61,0,9000,75,9075,355775.1154461877,4730164.941377874,POINT (355775.1154461877 4730164.941377874)
62,0,9150,75,9225,355925.1154461877,4730164.941377874,POINT (355925.1154461877 4730164.941377874)
63,0,9300,75,9375,356075.1154461877,4730164.941377874,POINT (356075.1154461877 4730164.941377874)
64,0,9450,75,9525,356225.1154461877,4730164.941377874,POINT (356225.1154461877 4730164.941377874)
65,0,9600,75,9675,356375.1154461877,4730164.941377874,POINT (356375.1154461877 4730164.941377874)
66,0,9750,75,9825,356525.1154461877,4730164.941377874,POINT (356525.1154461877 4730164.941377874)
67,0,9900,75,9975,356675.1154461877,4730164.941377874,POINT (356675.1154461877 4730164.941377874)
68,0,10050,75,10125,356825.1154461877,4730164.941377874,POINT (356825.1154461877 4730164.941377874)
69,0,10200,75,10275,356975.1154461877,4730164.941377874,POINT (356975.1154461877 4730164.941377874)
70,0,10350,75,10425,357125.1154461877,4730164.941377874,POINT (357125.1154461877 4730164.941377874)
71,0,10500,75,10575,357275.1154461877,4730164.941377874,POINT (357275.1154461877 4730164.941377874)
72,0,10650,75,10725,357425.1154461877,4730164.941377874,POINT (357425.1154461877 4730164.941377874)
73,0,10800,75,10875,357575.1154461877,4730164.941377874,POINT (357575.1154461877 4730164.941377874)
74,0,10950,75,11025,357725.1154461877,4730164.941377874,POINT (357725.1154461877 4730164.941377874)
75,0,11100,75,11175,357875.1154461877,4730164.941377874,POINT (357875.1154461877 4730164.941377874)
76,0,11250,75,11325,358025.1154461877,4730164.941377874,POINT (358025.1154461877 4730164.941377874)
77,0,11400,75,11475,358175.1154461877,4730164.941377874,POINT (358175.1154461877 4730164.941377874)
78,0,11550,75,11625,358325.1154461877,4730164.941377874,POINT (358325.1154461877 4730164.941377874)
79,0,11700,75,11775,358475.1154461877,4730164.941377874,POINT (358475.1154461877 4730164.941377874)
80,0,11850,75,11925,358625.1154461877,4730164.941377874,POINT (358625.1154461877 4730164.941377874)
81,0,12000,75,12075,358775.1154461877,4730164.941377874,POINT (358775.1154461877 4730164.941377874)
82,0,12150,75,12225,358925.1154461877,4730164.941377874,POINT (358925.1154461877 4730164.941377874)
83,0,12300,75,12375,359075.1154461877,4730164.941377874,POINT (359075.1154461877 4730164.941377874)
84,0,12450,75,12525,359225.1154461877,4730164.941377874,POINT (359225.1154461877 4730164.941377874)
85,0,12600,75,12675,359375.1154461877,4730164.941377874,POINT (359375.1154461877 4730164.941377874)
86,0,12750,75,12825,359525.1154461877,4730164.941377874,POINT (359525.1154461877 4730164.941377874)
87,0,12900,75,12975,359675.1154461877,4730164.941377874,POINT (359675.1154461877 4730164.941377874)
88,0,13050,75,13125,359825.1154461877,4730164.941377874,POINT (359825.1154461877 4730164.941377874)
89,0,13200,75,13275,359975.1154461877,4730164.941377874,POINT (359975.1154461877 4730164.941377874)
90,0,13350,75,13425,360125.1154461877,4730164.941377874,POINT (360125.1154461877 4730164.941377874)
91,0,13500,75,13575,360275.1154461877,4730164.941377874,POINT (360275.1154461877 4730164.941377874)
92,0,13650,75,13725,360425.1154461877,4730164.941377874,POINT (360425.1154461877 4730164.941377874)
93,0,13800,75,13875,360575.1154461877,4730164.941377874,POINT (360575.1154461877 4730164.941377874)
94,0,13950,75,14025,360725.1154461877,4730164.941377874,POINT (360725.1154461877 4730164.941377874)
95,0,14100,75,14175,360875.1154461877,4730164.941377874,POINT (360875.1154461877 4730164.941377874)
96,0,14250,75,14325,361025.1154461877,4730164.941377874,POINT (361025.1154461877 4730164.941377874)
97,0,14400,75,14475,361175.1154461877,4730164.941377874,POINT (361175.1154461877 4730164.941377874)
98,0,14550,75,14625,361325.1154461877,4730164.941377874,POINT (361325.1154461877 4730164.941377874)
99,0,14700,75,14775,361475.1154461877,4730164.941377874,POINT (361475.1154461877 4730164.941377874)
100,0,14850,75,14925,361625.1154461877,4730164.941377874,POINT (361625.1154461877 4730164.941377874)
101,0,15000,75,15075,361775.1154461877,4730164.941377874,POINT (361775.1154461877 4730164.941377874)
102,0,15150,75,15225,361925.1154461877,4730164.941377874,POINT (361925.1154461877 4730164.941377874)
103,0,15300,75,15375,362075.1154461877,4730164.941377874,POINT (362075.1154461877 4730164.941377874)
104,0,15450,75,15525,362225.1154461877,4730164.941377874,POINT (362225.1154461877 4730164.941377874)
105,0,15600,75,15675,362375.1154461877,4730164.941377874,POINT (362375.1154461877 4730164.941377874)
106,0,15750,75,15825,362525.1154461877,4730164.941377874,POINT (362525.1154461877 4730164.941377874)
107,0,15900,75,15975,362675.1154461877,4730164.941377874,POINT (362675.1154461877 4730164.941377874)
108,0,16050,75,16125,362825.1154461877,4730164.941377874,POINT (362825.1154461877 4730164.941377874)
109,0,16200,75,16275,362975.1154461877,4730164.941377874,POINT (362975.1154461877 4730164.941377874)
110,0,16350,75,16425,363125.1154461877,4730164.941377874,POINT (363125.1154461877 4730164.941377874)
